id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
66,Nxt,NXT,12,2013-12-04 0:00:00,1.00E+09,998999941.5,998999941.5,1053,0.003909623,15477.01785,-93.005,2.17697376,-0.0122074,-16.52139261,-53.55115491,-53.26126487,-61.24954574,3905712.821,3.00E-04,3909622.67,No,No,No
11578,Cirus Foundation,CIRUS,12,2021-09-02 15:29:40,2.50E+08,33854212.74,2.50E+08,1054,0.114361147,689132.255,5.3966,0.62405408,16.79411683,-3.7375561,-49.91159169,-53.68396622,-29.18854998,3871606.591,0,28590286.69,No,No,No
8,Feathercoin,FTC,10,2013-05-03 0:00:00,3.36E+08,236600238,3.36E+08,1055,0.016367095,15885.10101,177.7428,-2.88497784,-4.7987513,27.31805424,84.0220303,135.1675571,61.0290101,3872458.673,0,5499344.06,Yes,Yes,Yes
8349,Onooks,OOKS,6,2021-01-27 0:00:00,1.20E+07,10927954.6,1.20E+07,1056,0.354189678,91760.98974,-4.0687,-1.38652786,-2.1537647,-13.79756428,-37.98645025,-52.7524566,-40.62085846,3870568.718,0,4250276.13,No,No,No
2081,Ambrosus,AMB,10,2017-10-23 0:00:00,-1.00E+05,589674164,769873000,1057,0.006527232,212723.9283,136.6871,-5.07018009,-1.23983786,-31.77900281,-64.11960686,-55.7533028,-75.74986273,3848940.14,3.00E-04,5025139.77,No,No,No
2473,All Sports,SOC,13,2018-01-27 0:00:00,-1.00E+05,1500000000,1.50E+09,1058,0.00256402,4523059.174,230.381,-1.03717986,-15.41289233,-2.99312309,-16.85402363,-35.73624416,-48.40221795,3846029.882,3.00E-04,3846029.88,No,No,No
4757,Robonomics.network,XRT,23,2019-10-07 0:00:00,-1.00E+05,940278.7616,9077870.019,1059,4.090079242,569379.2262,27.514,1.66598578,3.08685733,-39.49974219,-62.81691491,-36.82014122,-50.50310943,3845814.645,0,37129207.73,No,No,No
4917,DEXA COIN,DEXA,6,2019-11-18 0:00:00,-1.00E+05,2.50E+10,1.00E+11,1060,0.000153484,275192.5436,-8.7262,-4.24969495,3.236494,-26.5507091,-67.59416403,-12.7186108,-28.2736003,3837087.541,0,15348350.16,No,No,No
6120,Anchor Neural World,ANW,3,2020-08-04 0:00:00,1.00E+09,275297977,1.00E+09,1061,0.013919845,811911.2703,56.8995,-1.35982352,-0.7780379,-34.21876068,-50.17726788,-49.38423608,-56.14715581,3832105.193,0,13919845.09,No,No,No
1721,Mysterium,MYST,11,2017-06-14 0:00:00,32433365,20033628,32433365,1062,0.191202049,7755.830509,-5.8622,-0.00835755,3.20991307,-18.80588341,-38.16641169,-37.98718077,-50.36255164,3830470.714,3.00E-04,6201325.83,No,No,No
11458,EVRYNET,EVRY,8,2021-08-28 12:34:59,1.00E+09,40389133,1.00E+09,1063,0.094439666,1677432.756,13.4354,-0.00275348,2.71763068,-27.12369665,-48.00218722,-45.78225448,-35.55192603,3814336.236,0,94439666.13,No,No,No
